2024-04-15_15:58:14.561906 - The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:14.922387 - The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:15.134683 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:15.346892 - The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:15.576286 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:15.781259 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:15.966472 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:16.162036 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:16.350048 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:16.546913 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:16.743625 - The student is leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:16.940989 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:17.129809 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is sad.
2024-04-15_15:58:17.330074 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:17.658770 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:17.844886 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
2024-04-15_15:58:18.041404 - The student is not leaning forward, making eye contact, not smiling, and displaying open posture. Their current expression is neutral.
