2024-04-16_02:37:19.238680, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:19.448715, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:19.581632, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:19.717874, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:19.844033, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:19.966778, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:20.094990, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:20.231262, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:20.356596, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:20.484850, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:20.614864, The student is leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:20.741454, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:20.872128, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:20.999524, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:21.126353, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:21.254627, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:21.382007, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:21.498037, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:21.627612, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:21.758681, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:21.897254, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:22.016934, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:22.232306, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:22.352596, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:22.483808, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:22.588859, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:22.716065, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:22.826854, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:22.961413, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:23.088541, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:23.192274, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:23.326486, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:23.453008, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:23.557548, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:23.655700, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:23.782334, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:23.896001, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:23.994343, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:24.121939, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
2024-04-16_02:37:24.222679, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture. Their current expression is not detected.
