2024-04-16_03:01:04.841644, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:05.136145, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:05.259242, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:05.391134, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:05.522859, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:05.656889, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:05.753509, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:05.852371, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:05.951798, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:06.048701, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:06.149689, The student is leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:06.248805, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:06.380800, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:06.474437, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:06.582777, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is not detected.
2024-04-16_03:01:07.096919, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:07.232034, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:07.536018, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:07.705804, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:07.879272, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:08.065203, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:08.235141, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:01:08.389312, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:01:08.554267, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:08.714745, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:01:08.878283, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:09.039327, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:09.153000, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:09.252463, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:09.353462, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:09.507265, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:01:09.670964, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:09.836807, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:09.998948, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:10.166677, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:10.331114, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:10.488783, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:10.658953, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:10.821671, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:10.976056, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:11.147555, The student is leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:01:11.311461, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:11.484723, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_03:01:11.649144, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_03:01:11.824422, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:11.988128, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:12.149829, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_03:01:12.312701, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:12.488356, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:12.640284, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_03:01:12.819927, The student is leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:01:13.087256, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:13.243163, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:13.419928, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:13.575867, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:13.748178, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:13.926502, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:14.089576, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:14.251629, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_03:01:14.423810, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:01:14.578786, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:14.760439, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:14.915461, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:15.080648, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:01:15.242562, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:15.413347, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_03:01:15.588971, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:15.753511, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_03:01:15.905657, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:01:16.092667, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:16.254411, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:16.424224, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:16.579323, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:01:16.746603, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_03:01:16.933780, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:17.105493, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:17.263591, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_03:01:17.427781, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:17.584199, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:17.755086, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:17.919531, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:18.081024, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:18.258371, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:01:18.432197, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:01:18.596594, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:01:18.750357, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:18.974356, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:19.074458, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:19.179351, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:19.280941, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:19.405549, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:19.500070, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:19.603060, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:19.699109, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:19.795631, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:19.893607, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:20.004717, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:20.130662, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:20.227746, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:20.342958, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:20.438584, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:20.537281, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
2024-04-16_03:01:20.635696, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is fear.
